,alpha'=' 2.007,alpha'=' 2.189,alpha'=' 2.388,alpha'=' 2.605,alpha'=' 2.842,alpha'=' 3.101,alpha'=' 3.383,alpha'=' 3.691,alpha'=' 4.027,alpha'=' 4.393,alpha'=' 4.793,alpha'=' 5.229,alpha'=' 5.705,alpha'=' 6.223,alpha'=' 6.790,alpha'=' 7.407,alpha'=' 8.081,alpha'=' 8.816,alpha'=' 9.618,alpha'=' 10.494,alpha'=' 11.448,alpha'=' 12.490,alpha'=' 13.626,alpha'=' 14.866,alpha'=' 16.218,alpha'=' 17.693,alpha'=' 19.303,alpha'=' 21.059,alpha'=' 22.975,alpha'=' 25.065
artificial.103,0.081,0.073,0.061,0.055,0.045,0.037,0.033,0.025,0.014,0.008,0.004,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.104,0.016,0.012,0.011,0.011,0.01,0.007,0.006,0.004,0.003,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.105,0.44,0.433,0.428,0.42,0.399,0.383,0.366,0.347,0.326,0.301,0.272,0.248,0.217,0.182,0.14,0.1,0.063,0.03,0.011,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.106,0.059,0.055,0.05,0.042,0.035,0.03,0.026,0.023,0.018,0.015,0.012,0.009,0.005,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.107,0.361,0.357,0.352,0.345,0.341,0.324,0.304,0.279,0.241,0.209,0.171,0.129,0.088,0.047,0.019,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.108,0.247,0.237,0.229,0.211,0.198,0.186,0.18,0.166,0.146,0.136,0.125,0.107,0.087,0.065,0.04,0.02,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.109,0.047,0.044,0.042,0.04,0.033,0.032,0.022,0.017,0.013,0.01,0.005,0.003,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.110,0.049,0.042,0.037,0.031,0.025,0.017,0.014,0.012,0.008,0.004,0.002,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.111,0.02,0.016,0.012,0.007,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.112,0.046,0.039,0.034,0.024,0.021,0.017,0.011,0.011,0.009,0.006,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.113,0.043,0.034,0.031,0.025,0.019,0.014,0.011,0.007,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.114,0.069,0.062,0.056,0.053,0.052,0.045,0.04,0.038,0.036,0.029,0.024,0.023,0.019,0.013,0.009,0.003,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.115,0.15,0.151,0.152,0.153,0.15,0.149,0.144,0.138,0.134,0.127,0.118,0.103,0.094,0.077,0.056,0.035,0.016,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.116,0.04,0.029,0.026,0.02,0.011,0.007,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.117,0.025,0.023,0.018,0.015,0.013,0.011,0.009,0.009,0.009,0.006,0.006,0.004,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.118,0.207,0.184,0.163,0.143,0.111,0.094,0.075,0.059,0.035,0.02,0.007,0.004,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.119,0.073,0.07,0.06,0.049,0.044,0.031,0.024,0.013,0.01,0.008,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.120,0.04,0.039,0.033,0.03,0.025,0.019,0.016,0.01,0.008,0.006,0.005,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.121,0.063,0.057,0.054,0.053,0.05,0.044,0.035,0.033,0.029,0.026,0.018,0.016,0.011,0.005,0.003,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.122,0.156,0.142,0.123,0.113,0.094,0.078,0.061,0.049,0.037,0.033,0.021,0.016,0.009,0.004,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.123,0.121,0.12,0.118,0.109,0.106,0.099,0.097,0.09,0.085,0.08,0.063,0.052,0.044,0.03,0.02,0.013,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.124,0.07,0.068,0.056,0.047,0.039,0.033,0.028,0.023,0.018,0.017,0.011,0.009,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.125,0.361,0.366,0.366,0.367,0.369,0.369,0.366,0.361,0.355,0.343,0.329,0.301,0.266,0.223,0.183,0.131,0.093,0.056,0.029,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.126,0.062,0.057,0.051,0.046,0.044,0.036,0.029,0.021,0.015,0.012,0.007,0.005,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.127,0.055,0.05,0.047,0.042,0.041,0.037,0.032,0.029,0.026,0.02,0.015,0.014,0.008,0.007,0.005,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.128,0.053,0.049,0.042,0.037,0.033,0.026,0.018,0.014,0.013,0.01,0.005,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.129,0.118,0.111,0.105,0.092,0.084,0.079,0.068,0.054,0.045,0.035,0.033,0.023,0.012,0.007,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.130,0.025,0.022,0.017,0.013,0.009,0.006,0.004,0.003,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.131,0.479,0.481,0.481,0.481,0.478,0.477,0.476,0.476,0.473,0.465,0.457,0.448,0.418,0.356,0.264,0.156,0.07,0.016,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.132,0.046,0.041,0.041,0.033,0.027,0.019,0.017,0.017,0.014,0.01,0.009,0.007,0.005,0.004,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.133,0.194,0.183,0.165,0.142,0.123,0.096,0.069,0.053,0.037,0.022,0.014,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.134,0.008,0.008,0.006,0.005,0.004,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.135,0.156,0.144,0.121,0.1,0.083,0.059,0.04,0.02,0.011,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.136,0.018,0.012,0.01,0.01,0.007,0.005,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.137,0.052,0.047,0.041,0.033,0.029,0.025,0.018,0.016,0.009,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.138,0.277,0.271,0.255,0.231,0.211,0.178,0.135,0.103,0.066,0.037,0.014,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.139,0.041,0.033,0.027,0.021,0.02,0.016,0.014,0.01,0.006,0.004,0.003,0.003,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.140,0.11,0.103,0.093,0.071,0.058,0.045,0.035,0.029,0.012,0.008,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.141,0.037,0.033,0.032,0.03,0.028,0.027,0.025,0.025,0.021,0.017,0.012,0.011,0.009,0.006,0.006,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.142,0.183,0.179,0.174,0.17,0.161,0.144,0.133,0.126,0.113,0.097,0.085,0.075,0.063,0.047,0.028,0.012,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.143,0.034,0.028,0.026,0.017,0.011,0.007,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.144,0.23,0.213,0.202,0.18,0.167,0.148,0.126,0.106,0.083,0.063,0.047,0.026,0.017,0.01,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.145,0.21,0.202,0.194,0.18,0.164,0.148,0.116,0.103,0.084,0.06,0.04,0.02,0.009,0.005,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.146,0.004,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.147,0.007,0.006,0.005,0.004,0.003,0.002,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.148,0.093,0.084,0.074,0.062,0.051,0.039,0.031,0.024,0.013,0.006,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.149,0.026,0.022,0.019,0.017,0.011,0.009,0.008,0.007,0.003,0.003,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.150,0.228,0.23,0.231,0.231,0.227,0.226,0.225,0.221,0.217,0.219,0.216,0.193,0.156,0.107,0.053,0.017,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.151,0.043,0.035,0.029,0.028,0.026,0.02,0.016,0.011,0.007,0.003,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.152,0.075,0.064,0.053,0.05,0.047,0.04,0.033,0.025,0.02,0.016,0.011,0.004,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.153,0.221,0.214,0.212,0.203,0.2,0.197,0.192,0.184,0.169,0.155,0.13,0.116,0.099,0.062,0.037,0.011,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.154,0.037,0.035,0.031,0.028,0.023,0.018,0.016,0.01,0.005,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.155,0.01,0.008,0.006,0.005,0.004,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.156,0.135,0.128,0.12,0.11,0.098,0.092,0.084,0.07,0.065,0.048,0.035,0.023,0.018,0.012,0.008,0.006,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.157,0.128,0.128,0.12,0.12,0.111,0.104,0.1,0.096,0.086,0.081,0.072,0.063,0.052,0.036,0.024,0.016,0.009,0.003,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.158,0.02,0.016,0.014,0.012,0.009,0.009,0.006,0.005,0.004,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.159,0.164,0.158,0.144,0.128,0.112,0.098,0.076,0.065,0.051,0.035,0.023,0.015,0.013,0.01,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.160,0.017,0.013,0.012,0.011,0.01,0.007,0.007,0.005,0.004,0.004,0.002,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.161,0.043,0.038,0.037,0.034,0.034,0.034,0.03,0.027,0.021,0.016,0.016,0.012,0.007,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.162,0.011,0.009,0.005,0.005,0.004,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.163,0.038,0.035,0.029,0.026,0.019,0.013,0.01,0.008,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.164,0.048,0.044,0.037,0.029,0.026,0.02,0.015,0.011,0.009,0.006,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.165,0.458,0.457,0.457,0.456,0.457,0.454,0.448,0.445,0.434,0.424,0.416,0.397,0.371,0.317,0.231,0.106,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.166,0.36,0.346,0.326,0.303,0.281,0.252,0.232,0.209,0.18,0.144,0.119,0.099,0.081,0.059,0.038,0.026,0.012,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.167,0.01,0.007,0.005,0.004,0.003,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.168,0.068,0.057,0.041,0.03,0.02,0.014,0.006,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.169,0.132,0.132,0.131,0.125,0.125,0.119,0.11,0.102,0.097,0.082,0.071,0.058,0.032,0.016,0.009,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.170,0.389,0.384,0.38,0.377,0.364,0.351,0.335,0.311,0.298,0.264,0.217,0.164,0.121,0.081,0.037,0.014,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.171,0.259,0.253,0.247,0.24,0.227,0.224,0.212,0.193,0.158,0.133,0.105,0.064,0.03,0.011,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.172,0.099,0.092,0.077,0.067,0.061,0.053,0.043,0.034,0.026,0.019,0.011,0.009,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.173,0.053,0.045,0.04,0.037,0.025,0.02,0.012,0.009,0.008,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.174,0.075,0.069,0.058,0.057,0.048,0.035,0.029,0.026,0.022,0.015,0.013,0.006,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.175,0.137,0.132,0.13,0.126,0.116,0.107,0.098,0.095,0.088,0.072,0.065,0.046,0.041,0.022,0.011,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.176,0.016,0.011,0.009,0.006,0.005,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.177,0.052,0.045,0.036,0.03,0.027,0.02,0.016,0.012,0.011,0.007,0.003,0.003,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.178,0.004,0.003,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.179,0.051,0.049,0.044,0.042,0.039,0.034,0.027,0.024,0.017,0.009,0.006,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.180,0.02,0.014,0.007,0.006,0.005,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.181,0.164,0.155,0.148,0.139,0.133,0.121,0.111,0.098,0.089,0.079,0.073,0.059,0.046,0.031,0.024,0.01,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.182,0.071,0.064,0.056,0.052,0.046,0.04,0.035,0.03,0.026,0.02,0.017,0.012,0.007,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.183,0.063,0.057,0.052,0.047,0.041,0.037,0.035,0.03,0.027,0.023,0.016,0.01,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.184,0.02,0.019,0.013,0.011,0.008,0.006,0.005,0.004,0.004,0.004,0.004,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.185,0.007,0.006,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.186,0.344,0.331,0.321,0.306,0.289,0.273,0.239,0.21,0.187,0.156,0.128,0.103,0.085,0.066,0.047,0.025,0.014,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.187,0.348,0.331,0.321,0.296,0.282,0.27,0.254,0.241,0.221,0.199,0.174,0.159,0.141,0.12,0.103,0.081,0.064,0.042,0.021,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.188,0.019,0.016,0.012,0.008,0.007,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.189,0.33,0.327,0.318,0.306,0.302,0.286,0.269,0.253,0.235,0.212,0.186,0.161,0.13,0.101,0.07,0.049,0.034,0.015,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.190,0.059,0.054,0.043,0.037,0.033,0.027,0.02,0.016,0.012,0.009,0.004,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.191,0.204,0.191,0.171,0.16,0.145,0.133,0.118,0.099,0.08,0.066,0.05,0.035,0.02,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.192,0.24,0.232,0.228,0.219,0.209,0.2,0.193,0.185,0.17,0.154,0.137,0.111,0.09,0.067,0.051,0.031,0.02,0.008,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.193,0.015,0.01,0.008,0.005,0.004,0.002,0.002,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.194,0.164,0.16,0.155,0.155,0.147,0.142,0.136,0.128,0.117,0.107,0.098,0.078,0.062,0.044,0.024,0.01,0.005,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.195,0.061,0.05,0.046,0.031,0.025,0.018,0.009,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.196,0.021,0.019,0.015,0.012,0.01,0.01,0.006,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.197,0.184,0.174,0.162,0.153,0.135,0.125,0.109,0.089,0.07,0.051,0.041,0.03,0.015,0.009,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.198,0.123,0.114,0.11,0.097,0.09,0.079,0.07,0.062,0.053,0.036,0.023,0.014,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.199,0.172,0.175,0.177,0.178,0.183,0.18,0.188,0.186,0.177,0.169,0.157,0.147,0.122,0.097,0.072,0.051,0.028,0.006,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.200,0.134,0.127,0.122,0.12,0.106,0.1,0.093,0.084,0.075,0.063,0.053,0.043,0.036,0.026,0.013,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.201,0.028,0.025,0.022,0.015,0.014,0.011,0.008,0.006,0.004,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.202,0.171,0.169,0.155,0.141,0.125,0.112,0.102,0.085,0.066,0.049,0.031,0.016,0.007,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.203,0.047,0.044,0.039,0.034,0.028,0.023,0.019,0.014,0.01,0.007,0.004,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.204,0.013,0.008,0.007,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.205,0.112,0.11,0.107,0.103,0.096,0.087,0.078,0.067,0.065,0.063,0.055,0.048,0.038,0.029,0.022,0.017,0.011,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.206,0.371,0.372,0.373,0.371,0.372,0.371,0.366,0.365,0.364,0.367,0.367,0.355,0.331,0.304,0.24,0.163,0.086,0.03,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.207,0.216,0.204,0.191,0.173,0.158,0.138,0.111,0.084,0.055,0.033,0.014,0.007,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.208,0.042,0.036,0.028,0.026,0.018,0.01,0.005,0.003,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
