,Fold selected features,Fold nb of features
Fold 0,['S6'],1
Fold 1,"['p38', 'S6']",2
Fold 2,['S6'],1
Fold 3,['S6'],1
Fold 4,['S6'],1
Fold 5,['S6'],1
Fold 6,['S6'],1
Fold 7,['S6'],1
Fold 8,['S6'],1
Fold 9,['S6'],1
Fold 10,['S6'],1
Fold 11,['S6'],1
Fold 12,"['p38', 'S6', 'NFkB']",3
Fold 13,"['p38', 'S6']",2
Fold 14,['S6'],1
Fold 15,"['p38', 'S6']",2
Fold 16,['S6'],1
Fold 17,['S6'],1
Fold 18,"['S6', 'ERK']",2
Fold 19,['S6'],1
Fold 20,"['p38', 'S6']",2
Fold 21,['S6'],1
Fold 22,['S6'],1
Fold 23,['S6'],1
Fold 24,['S6'],1
Fold 25,"['p38', 'S6']",2
Fold 26,"['S6', 'ERK']",2
Fold 27,['S6'],1
Fold 28,['S6'],1
Fold 29,['S6'],1
Fold 30,['S6'],1
Fold 31,"['p38', 'S6', 'NFkB']",3
Fold 32,['S6'],1
Fold 33,['S6'],1
Fold 34,['S6'],1
Fold 35,['S6'],1
Fold 36,"['p38', 'S6']",2
Fold 37,['S6'],1
Fold 38,['S6'],1
Fold 39,['S6'],1
Fold 40,['S6'],1
Fold 41,['S6'],1
Fold 42,['S6'],1
Fold 43,['S6'],1
Fold 44,['S6'],1
Fold 45,['S6'],1
Fold 46,['S6'],1
Fold 47,"['p38', 'S6']",2
Fold 48,['S6'],1
Fold 49,"['S6', 'ERK']",2
Fold 50,['S6'],1
Fold 51,"['p38', 'S6', 'NFkB']",3
Fold 52,['S6'],1
Fold 53,['S6'],1
Fold 54,['S6'],1
Fold 55,"['p38', 'S6']",2
Fold 56,['S6'],1
Fold 57,"['p38', 'S6']",2
Fold 58,['S6'],1
Fold 59,['S6'],1
Fold 60,['S6'],1
Fold 61,['S6'],1
Fold 62,['S6'],1
Fold 63,['S6'],1
Fold 64,"['p38', 'S6']",2
Fold 65,['S6'],1
Fold 66,['S6'],1
Fold 67,"['p38', 'S6', 'NFkB']",3
Fold 68,"['p38', 'S6']",2
Fold 69,['S6'],1
Fold 70,['S6'],1
Fold 71,"['p38', 'S6']",2
Fold 72,['S6'],1
Fold 73,['S6'],1
Fold 74,['S6'],1
Fold 75,['S6'],1
Fold 76,['S6'],1
Fold 77,['S6'],1
Fold 78,['S6'],1
Fold 79,"['S6', 'ERK']",2
Fold 80,['S6'],1
Fold 81,['S6'],1
Fold 82,['S6'],1
Fold 83,"['p38', 'S6']",2
Fold 84,['S6'],1
Fold 85,"['p38', 'S6']",2
Fold 86,"['p38', 'S6', 'NFkB']",3
Fold 87,['S6'],1
Fold 88,['S6'],1
Fold 89,['S6'],1
Fold 90,"['p38', 'S6']",2
Fold 91,['S6'],1
Fold 92,['S6'],1
Fold 93,['S6'],1
Fold 94,['S6'],1
Fold 95,['S6'],1
Fold 96,"['S6', 'ERK']",2
Fold 97,['S6'],1
Fold 98,['S6'],1
Fold 99,['S6'],1
Fold 100,['S6'],1
Fold 101,['S6'],1
Fold 102,['S6'],1
Fold 103,['S6'],1
Fold 104,['S6'],1
Fold 105,['S6'],1
Fold 106,"['p38', 'S6', 'NFkB']",3
Fold 107,['S6'],1
Fold 108,['S6'],1
Fold 109,['S6'],1
Fold 110,['S6'],1
Fold 111,"['p38', 'S6']",2
Fold 112,['S6'],1
Fold 113,"['p38', 'S6']",2
Fold 114,['S6'],1
Fold 115,['S6'],1
Fold 116,['S6'],1
Fold 117,['S6'],1
Fold 118,"['p38', 'S6']",2
Fold 119,"['S6', 'ERK']",2
Fold 120,['S6'],1
Fold 121,['S6'],1
Fold 122,"['p38', 'S6']",2
Fold 123,['S6'],1
Fold 124,"['p38', 'S6', 'NFkB']",3
Fold 125,['S6'],1
Fold 126,['S6'],1
Fold 127,['S6'],1
Fold 128,['S6'],1
Fold 129,['S6'],1
Fold 130,"['S6', 'ERK']",2
Fold 131,"['p38', 'S6']",2
Fold 132,['S6'],1
Fold 133,['S6'],1
Fold 134,['S6'],1
Fold 135,['S6'],1
Fold 136,['S6'],1
Fold 137,"['p38', 'S6']",2
Fold 138,['S6'],1
Fold 139,['S6'],1
Fold 140,"['p38', 'S6']",2
Fold 141,['S6'],1
Fold 142,['S6'],1
Fold 143,['S6'],1
Fold 144,['S6'],1
Fold 145,['S6'],1
Fold 146,['S6'],1
Fold 147,['S6'],1
Fold 148,['S6'],1
Fold 149,['S6'],1
Fold 150,['S6'],1
Fold 151,"['p38', 'S6']",2
Fold 152,['S6'],1
Fold 153,"['p38', 'S6', 'NFkB']",3
Fold 154,"['p38', 'S6']",2
Fold 155,['S6'],1
Fold 156,['S6'],1
Fold 157,['S6'],1
Fold 158,"['S6', 'ERK']",2
Fold 159,['S6'],1
Fold 160,"['p38', 'S6']",2
Fold 161,['S6'],1
Fold 162,['S6'],1
Fold 163,['S6'],1
Fold 164,['S6'],1
Fold 165,"['p38', 'S6', 'NFkB']",3
Fold 166,['S6'],1
Fold 167,['S6'],1
Fold 168,['S6'],1
Fold 169,['S6'],1
Fold 170,['S6'],1
Fold 171,['S6'],1
Fold 172,"['p38', 'S6']",2
Fold 173,['S6'],1
Fold 174,['S6'],1
Fold 175,['S6'],1
Fold 176,['S6'],1
Fold 177,"['S6', 'ERK']",2
Fold 178,"['p38', 'S6']",2
Fold 179,['S6'],1
Fold 180,['S6'],1
Fold 181,"['p38', 'S6', 'NFkB']",3
Fold 182,['S6'],1
Fold 183,['S6'],1
Fold 184,['S6'],1
Fold 185,['S6'],1
Fold 186,['S6'],1
Fold 187,['S6'],1
Fold 188,['S6'],1
Fold 189,['S6'],1
Fold 190,"['p38', 'S6']",2
Fold 191,"['p38', 'S6']",2
Fold 192,['S6'],1
Fold 193,"['S6', 'ERK']",2
Fold 194,['S6'],1
Fold 195,['S6'],1
Fold 196,['S6'],1
Fold 197,['S6'],1
Fold 198,"['p38', 'S6']",2
Fold 199,['S6'],1
